RUN_ID,RUN_TIME,RESULT_ID,LINUX_SERVER_COUNT,REDHAT_5,REDHAT_6,REDHAT_7,SERVER_COUNT_WITH_REPEATER,RPM_COUNT,TOTAL_RPM_PAYLOAD,BATCH_JOB_RUN_ID,TOTAL_RPM_SIZE,RUN_TIME_MINS,RHEL5,RHEL6,RHEL7,REPEATER
3887090,759,6268060,1,0,0,0,0,226,811709636,3888962,774,13,0,0,0,0
3882935,494,6249333,1,0,0,0,1,374,1325298620,3882330,1264,8,0,0,0,1
3893227,290,6263481,2,2,0,0,0,32,311237944,3892945,297,5,1,0,0,0
3942144,730,6395056,1,0,0,0,0,235,1066201116,3936091,1017,12,0,0,0,0
3893433,536,6263192,2,2,0,0,0,34,315866240,3893118,301,9,1,0,0,0
3938070,277,6383274,1,1,0,0,0,14,396042408,3932289,378,5,1,0,0,0
3886120,493,6253463,2,0,0,0,0,368,1367152792,3889360,1304,8,0,0,0,0
3893432,279,6263191,1,1,0,0,0,14,145445336,3893109,139,5,1,0,0,0
3942420,331,6392967,1,1,0,0,0,12,144967924,3942418,138,6,1,0,0,0
3942500,699,6384179,1,0,0,0,0,236,1067945728,3942136,1018,12,0,0,0,0
3936097,334,6384176,1,1,0,0,0,17,155154488,3938154,148,6,1,0,0,0
3941619,324,6379381,1,0,0,0,0,236,904936704,3938338,863,5,0,0,0,0
3941617,255,6379379,4,4,0,0,0,52,593381904,3941610,566,4,1,0,0,0
3942330,386,6394923,1,1,0,0,0,6,135245704,3942322,129,6,1,0,0,0
3893228,406,6263482,7,7,0,0,0,126,2806556956,3892939,2677,7,1,0,0,0
3910290,1721,6319857,2,2,0,0,0,48,289933480,3910478,277,29,1,0,0,0
3942606,401,6393615,2,2,0,0,0,26,296690952,3940846,283,7,1,0,0,0
3893229,325,6263483,1,1,0,0,0,21,411434972,3891562,392,5,1,0,0,0
3891574,340,6268218,2,2,0,0,0,30,293305856,3892942,280,6,1,0,0,0
3893431,2410,6263190,41,41,0,0,0,533,5949949028,3893416,5674,40,1,0,0,0
3887083,460,6268053,1,0,0,0,0,293,728826608,3888956,695,8,0,0,0,0
3943395,1133,6400430,1,0,0,0,0,366,1348503520,3943392,1286,19,0,0,0,0
3938174,2695,6385976,1,1,0,0,0,14,146500144,3938151,140,45,1,0,0,0
3938319,289,6381233,1,1,0,0,0,13,148345476,3932886,141,5,1,0,0,0
3886131,414,6268061,1,0,0,0,0,178,674530788,3886124,643,7,0,0,0,0
3923511,197,6349267,1,0,0,0,0,2,23369596,3923512,22,3,0,0,0,0
3889076,521,6265824,1,0,0,0,0,191,624354788,3886078,595,9,0,0,0,0
3893130,761,6268518,5,5,0,0,0,80,1191066940,3893121,1136,13,1,0,0,0
3942607,365,6393616,1,1,0,0,0,17,403178960,3940929,385,6,1,0,0,0
3938191,462,6385991,1,1,0,0,0,16,360500964,3938188,344,8,1,0,0,0
3888982,694,6256470,1,0,0,0,0,489,2009703268,3889073,1917,12,0,0,0,0
3941802,533,6383941,1,0,1,0,0,187,632918116,3933681,604,9,0,1,0,0
3942246,972,6383885,1,0,0,0,0,184,627748080,3942244,599,16,0,0,0,0
3923108,354,6349710,1,1,0,0,0,18,404166416,3922671,385,6,1,0,0,0
3921758,197,6343972,1,0,0,0,0,4,42484952,3922257,41,3,0,0,0,0
3922726,198,6344059,1,0,0,0,0,4,42484952,3922727,41,3,0,0,0,0
3936098,491,6384177,1,1,0,0,0,19,411273320,3942319,392,8,1,0,0,0
3942332,663,6394925,1,0,0,0,0,32,253486748,3942133,242,11,0,0,0,0
